Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-October-2020,824.40,833.55,816.20,828.85,826.563230801886357134,108357,5071,89563912.00,34846,32.16,17.35,4.45
26-October-2020,834.00,854.65,813.95,819.45,834.379756096621780332,259693,9347,216682582.00,78064,30.06,40.70,-14.55
23-October-2020,839.00,857.00,833.40,848.10,846.470064297046789322,215562,4809,182466780.00,77437,35.92,23.60,9.10
22-October-2020,842.20,853.90,828.80,838.10,840.284912418643253396,91572,3192,76946570.00,15882,17.34,25.10,-4.10
21-October-2020,850.50,857.40,834.50,845.30,848.157849914504893513,150301,5420,127478973.00,33771,22.47,22.90,-5.20
20-October-2020,818.00,852.80,818.00,850.15,842.940713199451829835,172939,5985,145777324.00,56869,32.88,34.80,32.15
19-October-2020,829.90,836.75,817.40,824.95,828.050452704312604241,117516,4204,97309177.00,30214,25.71,19.35,-4.95
16-October-2020,814.50,828.15,799.05,822.80,817.099002808626864902,194045,5119,158553976.00,18013,9.28,29.10,8.30
15-October-2020,851.00,857.10,807.00,812.20,833.549593281997303935,433224,10009,361113689.00,264573,61.07,50.10,-38.80
14-October-2020,868.00,873.80,845.70,848.90,855.705529790913378399,101776,3144,87090286.00,20194,19.84,28.10,-19.10
13-October-2020,857.70,879.65,852.00,867.40,867.375394321766561514,200027,6412,173498498.00,54519,27.26,27.65,9.70
12-October-2020,857.10,864.70,848.90,856.95,856.913824290336761240,138763,3377,118907933.00,31248,22.52,15.80,-0.15
9-October-2020,857.00,862.35,845.50,854.60,853.262943559939426185,97732,3829,83391094.00,21773,22.28,16.85,-2.40
8-October-2020,858.20,887.50,858.00,860.35,873.401311746381571976,283134,10123,247289607.00,70767,24.99,29.50,2.15
7-October-2020,846.55,848.35,838.00,846.60,842.963182946735984417,72901,2136,61452859.00,11315,15.52,10.35,0.05
6-October-2020,855.00,855.00,832.05,847.00,841.187006216162021255,149610,4911,125849988.00,41328,27.62,22.95,-8.00
5-October-2020,822.00,850.15,822.00,841.25,835.908565197440161050,202669,6771,169412753.00,70959,35.01,28.15,19.25
1-October-2020,797.90,825.00,797.20,822.65,815.233486084142394822,193125,4749,157441967.00,47423,24.56,27.80,24.75
30-September-2020,780.00,794.80,766.00,791.70,782.409307299572236787,144940,4265,113402405.00,35525,24.51,28.80,11.70
29-September-2020,779.00,789.90,764.35,768.20,777.976193391134013734,89849,3062,69900383.00,17098,19.03,25.55,-10.80
28-September-2020,784.00,784.35,772.00,779.40,778.151330476643918954,94515,3562,73546973.00,29365,31.07,12.35,-4.60
25-September-2020,753.00,777.05,749.10,772.55,764.520712686720899464,218441,4336,167002669.00,15057,6.89,27.95,19.55
24-September-2020,786.25,786.30,747.35,751.35,769.983465410152066823,163415,4034,125826848.00,67523,41.32,38.95,-34.90
23-September-2020,807.20,811.60,783.45,792.80,796.893523343270077474,123783,3857,98641871.00,20598,16.64,28.15,-14.40
22-September-2020,790.00,810.70,771.80,800.50,795.127494628481558117,251791,6580,200205947.00,30966,12.30,38.90,10.50
21-September-2020,805.00,829.95,784.45,787.15,816.148310034553522880,285065,8881,232655318.00,70198,24.63,45.50,-17.85
18-September-2020,794.80,808.40,789.55,805.00,801.936993383492112403,116829,3658,93689497.00,26490,22.67,18.85,10.20
17-September-2020,785.00,811.30,781.00,786.95,799.044930129422483726,182194,5853,145581192.00,25138,13.80,30.30,1.95
16-September-2020,791.15,793.95,784.30,792.05,789.394541498037461105,49171,1723,38815319.00,12404,25.23,9.65,0.90
15-September-2020,791.00,802.80,775.10,791.15,789.418092222090683082,135152,3775,106691434.00,20225,14.96,27.70,0.15
14-September-2020,768.00,796.25,768.00,790.65,787.306594160111235976,210004,5669,165337534.00,60471,28.80,28.25,22.65
11-September-2020,745.00,770.20,745.00,764.95,761.872785137446791582,125685,4488,95755981.00,36785,29.27,25.20,19.95
10-September-2020,756.00,758.00,740.00,750.10,748.064600507292327203,50464,1925,37750332.00,11527,22.84,18.00,-5.90
9-September-2020,745.00,759.85,745.00,753.35,750.070507812500000000,138240,2525,103689747.00,19953,14.43,14.85,8.35
8-September-2020,748.20,769.15,745.40,752.15,759.954346534118536927,92545,2880,70329975.00,9996,10.80,23.75,3.95
7-September-2020,748.10,751.40,734.25,746.95,743.750719402055434444,80275,3354,59704589.00,26000,32.39,17.15,-1.15
4-September-2020,743.20,758.10,743.20,748.55,750.605039344107807567,84892,3498,63720363.00,26634,31.37,14.90,5.35
3-September-2020,728.10,761.85,728.10,759.60,752.362681175065129467,69477,2829,52271902.00,17352,24.98,33.75,31.50
2-September-2020,728.00,745.00,728.00,735.00,735.327088317336484664,312249,4043,229605148.00,234000,74.94,17.00,7.00
1-September-2020,737.00,752.50,723.20,728.20,738.814874046767140120,110676,4790,81769075.00,36040,32.56,29.30,-8.80
31-August-2020,752.30,774.55,732.15,741.20,755.445523424173906144,126045,4686,95220131.00,20960,16.63,42.40,-11.10
28-August-2020,737.10,758.05,737.10,752.25,752.502319971121422093,113579,3473,85468461.00,23321,20.53,20.95,15.15
27-August-2020,733.00,746.00,733.00,735.25,739.810571184995737425,70380,2961,52067868.00,14725,20.92,13.00,2.25
26-August-2020,739.10,741.00,727.00,732.70,732.793768242377244283,92847,3611,68037703.00,26924,29.00,14.00,-6.40
25-August-2020,725.50,739.95,714.50,738.70,729.180148104964361809,144087,5615,105065380.00,49753,34.53,25.45,13.20
24-August-2020,734.90,735.00,719.50,722.70,724.972330415332999113,259310,2142,187992575.00,214238,82.62,15.50,-12.20
21-August-2020,731.80,736.70,730.00,732.45,734.190480519131722857,484039,4313,355376826.00,287062,59.31,6.70,0.65
20-August-2020,710.00,732.00,710.00,726.00,728.681737576241209219,428574,4500,312294047.00,309902,72.31,22.00,16.00
19-August-2020,712.00,728.90,709.30,726.80,722.636841107209966498,174023,6242,125755431.00,77854,44.74,19.60,14.80
18-August-2020,724.10,727.85,710.10,713.15,716.545172178818756635,126206,4795,90432300.00,32147,25.47,17.75,-10.95
17-August-2020,703.50,724.15,699.00,721.10,712.757646597189430769,300722,9287,214341905.00,137187,45.62,25.15,17.60
14-August-2020,691.00,710.95,691.00,695.90,702.384745813900310209,231779,7853,162798034.00,79024,34.09,19.95,4.90
13-August-2020,695.80,705.25,684.70,697.25,692.339771086270524683,1121820,8032,776680602.00,93305,8.32,20.55,1.45
12-August-2020,671.00,693.70,671.00,692.20,684.257991439940562739,219391,6812,150120045.00,100026,45.59,22.70,21.20
11-August-2020,690.50,694.30,672.25,674.85,676.807654256742255189,1360524,3399,920813057.00,1210977,89.01,22.05,-15.65
10-August-2020,670.00,687.25,662.65,681.35,677.076705867252803670,124658,3791,84403028.00,27595,22.14,24.60,11.35
