Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-December-2019,561.70,574.50,560.95,563.65,567.949257166771291065,28674,917,16285377.00,3315,11.56,13.55,1.95
6-December-2019,568.00,570.50,558.50,561.70,562.295320422242540104,36093,1247,20294925.00,4726,13.09,12.00,-6.30
5-December-2019,570.05,574.15,565.20,568.65,568.911278346042817333,59929,1377,34094284.00,31499,52.56,8.95,-1.40
4-December-2019,569.00,574.65,563.00,570.10,569.308009526749878710,45346,956,25815841.00,5193,11.45,11.65,1.10
3-December-2019,570.00,572.85,562.75,569.80,569.609432392918214365,193567,1247,110257589.00,153408,79.25,10.10,-0.20
2-December-2019,573.10,580.10,566.45,570.75,570.810192381195056695,39245,822,22401446.00,5800,14.78,13.65,-2.35
29-November-2019,580.00,582.75,571.50,573.10,576.310649693679151839,54518,1302,31419304.00,5704,10.46,11.25,-6.90
28-November-2019,552.15,582.60,552.15,579.90,572.772317620278901191,226245,4851,129586873.00,33481,14.80,30.45,27.75
27-November-2019,544.65,554.90,544.65,552.15,548.615621213533414111,289683,2362,158924619.00,230877,79.70,10.25,7.50
26-November-2019,537.20,551.20,537.20,542.35,545.094282827866317547,48503,1624,26438708.00,8067,16.63,14.00,5.15
25-November-2019,535.15,547.35,535.00,544.40,543.132384050628410929,56253,2342,30552826.00,9908,17.61,12.35,9.25
22-November-2019,542.90,542.90,530.90,533.40,535.467506563469603464,58658,2048,31409453.00,13377,22.80,12.00,-9.50
21-November-2019,552.60,559.80,542.00,544.25,551.193415225202640594,59835,1966,32980658.00,9176,15.34,17.80,-8.35
20-November-2019,551.15,556.60,546.70,552.70,552.389308633389182183,63266,2157,34947462.00,9627,15.22,9.90,1.55
19-November-2019,549.95,556.80,538.40,551.15,547.209927300442646498,136452,2923,74667889.00,15811,11.59,18.40,1.20
18-November-2019,532.00,551.15,528.00,549.25,543.131996301827750515,126549,2560,68732811.00,18456,14.58,23.15,17.25
15-November-2019,537.00,541.95,518.20,530.10,528.709372264422669641,141652,3031,74892740.00,24032,16.97,23.75,-6.90
14-November-2019,539.00,544.00,531.50,535.50,537.669773743837539586,61258,1396,32936575.00,8377,13.67,12.50,-3.50
13-November-2019,551.00,554.00,538.65,540.85,544.681098554265933618,78576,1920,42798862.00,20707,26.35,15.35,-10.15
