Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-January-2020,384.90,384.90,376.65,380.30,379.980117229168728624,272799,3154,103658196.00,79716,29.22,8.25,-4.60
16-January-2020,393.00,393.00,382.35,384.10,386.041337006984993638,474732,6577,183266176.00,128802,27.13,10.65,-8.90
15-January-2020,390.00,395.75,385.05,391.20,390.539189591887172216,983233,12398,383991019.00,155780,15.84,10.70,1.20
14-January-2020,358.10,392.00,358.10,389.40,378.621526903953803146,1764276,22337,667992873.00,340554,19.30,33.90,31.30
13-January-2020,344.40,353.45,342.00,352.90,350.041045478230662343,276352,4000,96734543.00,73235,26.50,11.45,8.50
10-January-2020,330.00,343.20,329.80,341.30,339.431626773779343495,303730,4575,103095568.00,55556,18.29,13.40,11.30
9-January-2020,319.00,330.00,318.30,328.50,325.463541702991289064,143383,2475,46665939.00,38672,26.97,11.70,9.50
8-January-2020,314.50,317.20,311.40,316.45,314.773485802610487749,69872,1877,21993853.00,15457,22.12,5.80,1.95
7-January-2020,313.00,319.40,311.95,314.80,315.239295174152608393,141198,2489,44511158.00,23654,16.75,7.45,1.80
6-January-2020,315.00,318.00,310.20,312.05,313.637304987470697599,123710,2164,38800071.00,39158,31.65,7.80,-2.95
3-January-2020,323.00,324.05,317.10,318.40,319.819397847588340377,68853,1719,22020525.00,12709,18.46,6.95,-4.60
2-January-2020,324.00,327.40,321.30,323.50,324.161523446067465017,182376,2468,59119282.00,56977,31.24,6.10,-0.50
1-January-2020,322.00,324.60,318.85,324.00,322.405034942075887622,85284,1250,27495991.00,19832,23.25,5.75,2.00
31-December-2019,322.00,325.80,319.75,321.05,322.318649038122398798,198466,2167,63969293.00,65378,32.94,6.05,-0.95
30-December-2019,318.90,322.70,317.25,321.35,320.213466827634409578,110167,2037,35276957.00,16342,14.83,5.45,2.45
27-December-2019,313.00,319.50,313.00,318.50,317.811360752039880050,284453,2631,90402395.00,209776,73.75,6.50,5.50
26-December-2019,316.00,319.55,312.10,312.80,315.853256827117203272,122343,1951,38642435.00,26386,21.57,7.45,-3.20
24-December-2019,319.00,319.00,312.55,315.10,315.010497254330875883,65922,1312,20766122.00,12000,18.20,6.45,-3.90
23-December-2019,318.95,322.55,313.80,314.80,317.893114739830941786,183842,3474,58442106.00,28156,15.32,8.75,-4.15
20-December-2019,314.05,314.80,311.50,312.45,313.156102160455868486,121965,1538,38194084.00,41039,33.65,3.30,-1.60
19-December-2019,311.05,316.40,309.00,313.90,312.764774701315276349,282070,3050,88221560.00,37782,13.39,7.40,2.85
18-December-2019,327.40,327.40,305.05,311.80,316.327966575095078856,261362,2903,82676110.00,85647,32.77,22.35,-15.60
17-December-2019,326.90,329.80,322.60,325.25,326.775215399458886872,148213,2012,48432335.00,21450,14.47,7.20,-1.65
16-December-2019,329.70,329.70,320.80,322.10,326.525522335668391251,327615,2130,106974659.00,80667,24.62,8.90,-7.60
13-December-2019,326.80,330.00,321.80,327.90,326.254702252254470771,203041,3787,66243081.00,41289,20.34,8.20,1.10
12-December-2019,312.50,327.50,312.50,323.60,322.285523802828453255,426735,4720,137530513.00,124225,29.11,15.00,11.10
11-December-2019,312.45,315.50,309.50,314.60,312.900555476902321010,120077,2186,37572160.00,23737,19.77,6.00,2.15
10-December-2019,316.00,316.00,311.50,312.90,313.296355577443979315,97464,960,30535116.00,31972,32.80,4.50,-3.10
9-December-2019,313.00,316.85,311.50,315.50,315.175019567556990509,81768,1061,25771231.00,15967,19.53,5.35,2.50
6-December-2019,313.50,319.80,312.40,313.70,315.732692746350364963,70144,921,22146754.00,13510,19.26,7.40,0.20
5-December-2019,322.50,322.70,312.70,315.40,315.233898794538400023,270104,2854,85145937.00,44246,16.38,10.00,-7.10
4-December-2019,313.00,320.00,311.70,319.15,317.620237561631555356,107088,1251,34013316.00,28607,26.71,8.30,6.15
3-December-2019,320.00,320.00,310.40,314.50,313.906719579557033302,93235,977,29267093.00,21275,22.82,9.60,-5.50
2-December-2019,325.90,325.90,316.05,316.85,319.707613403842576599,188155,1956,60154586.00,24314,12.92,9.85,-9.05
29-November-2019,318.90,325.00,314.55,323.05,320.879815638785769381,526358,5336,168897658.00,183595,34.88,10.45,4.15
28-November-2019,309.00,321.65,307.20,318.75,314.008348655090228123,367125,4255,115280315.00,60289,16.42,14.45,9.75
27-November-2019,303.00,308.55,298.70,307.60,304.364415447784093399,136874,2059,41659575.00,48370,35.34,9.85,4.60
26-November-2019,306.00,306.00,298.25,299.40,300.738578086480845014,111146,1508,33425890.00,24681,22.21,7.75,-6.60
25-November-2019,299.00,305.75,299.00,302.55,303.201180047850082450,104911,2043,31809139.00,25695,24.49,6.75,3.55
22-November-2019,300.15,302.55,296.80,299.65,299.912932571654999339,121136,1871,36330253.00,23994,19.81,5.75,-0.50
21-November-2019,306.45,311.90,301.20,301.90,307.088433194488945850,174776,2169,53671688.00,34439,19.70,10.70,-4.55
20-November-2019,308.90,308.90,301.15,306.40,304.894852617685877694,147745,1882,45046690.00,32664,22.11,7.75,-2.50
19-November-2019,306.00,308.65,300.90,302.35,304.147008718308447740,109769,1349,33385913.00,28522,25.98,7.75,-3.65
18-November-2019,295.00,306.95,294.00,305.30,304.168650496954471593,200622,2658,61022923.00,52293,26.07,12.95,10.30
15-November-2019,295.00,302.50,295.00,297.55,299.139747776014398900,328914,2634,98391251.00,48658,14.79,7.50,2.55
14-November-2019,288.00,296.80,285.20,295.55,292.818896849766860002,219825,2698,64368914.00,26166,11.90,11.60,7.55
13-November-2019,295.00,296.60,287.55,289.10,291.733503692314355631,138531,2064,40414134.00,35795,25.84,9.05,-5.90
11-November-2019,292.50,297.50,292.00,294.90,295.086040292767118033,93863,1669,27697661.00,19684,20.97,5.50,2.40
