Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-September-2020,622.10,624.00,600.00,613.35,615.377947094489456457,745480,17269,458751952.00,318171,42.68,24.00,-8.75
17-September-2020,612.70,624.65,610.85,617.40,618.270406820466577211,463546,10447,286596774.00,115804,24.98,13.80,4.70
16-September-2020,642.10,642.10,614.00,622.10,625.754273253442577939,1005206,15294,629011950.00,169347,16.85,28.10,-20.00
15-September-2020,608.50,638.75,601.95,633.50,621.821670154816218763,485931,9408,302162426.00,85301,17.55,36.80,25.00
14-September-2020,618.00,619.85,604.50,608.95,612.287987693160292287,418629,6743,256321508.00,171185,40.89,15.35,-9.05
11-September-2020,610.00,637.30,603.40,610.05,609.967736630026589183,729620,13547,445044660.00,242020,33.17,33.90,0.05
10-September-2020,614.00,627.65,610.05,620.65,620.111317338259764196,926702,18866,574658398.00,209588,22.62,17.60,6.65
9-September-2020,588.00,609.80,588.00,605.45,601.728233406232345673,577054,9531,347229684.00,58093,10.07,21.80,17.45
8-September-2020,609.00,612.75,599.15,600.30,605.196517995447504490,687535,13617,416093788.00,158258,23.02,13.60,-8.70
7-September-2020,620.55,624.90,597.75,608.75,613.034971178876905912,860480,14812,527504332.00,363506,42.24,27.15,-11.80
4-September-2020,605.00,642.00,605.00,615.70,624.931434211455095548,821678,15123,513492411.00,134561,16.38,37.00,10.70
3-September-2020,642.00,648.15,625.00,631.10,635.325047160325956851,731017,15743,464433410.00,110925,15.17,23.15,-10.90
2-September-2020,630.10,650.65,614.25,640.75,631.473401846635607985,1172619,24377,740477709.00,260021,22.17,36.40,10.65
1-September-2020,639.00,662.50,589.05,627.70,632.418923112731786794,1546680,31384,978149700.00,133272,8.62,73.45,-11.30
31-August-2020,710.00,710.65,620.75,630.05,653.821945450492312057,2072466,40815,1355023752.00,293764,14.17,89.90,-79.95
28-August-2020,600.70,666.10,595.45,656.60,633.731836024403728920,2501421,35120,1585230123.00,450581,18.01,70.65,55.90
27-August-2020,573.65,619.85,572.00,605.55,599.973237481062419820,2955103,53706,1772982714.00,773073,26.16,47.85,31.90
26-August-2020,540.20,572.00,539.00,568.10,556.359884032777771252,1021668,16480,568415090.00,268198,26.25,33.00,27.90
25-August-2020,534.30,546.35,530.35,536.30,538.665646805593243223,762849,12755,410920550.00,136300,17.87,16.00,2.00
24-August-2020,519.00,535.40,517.00,529.10,526.672246491837975170,1372086,27067,722639616.00,720454,52.51,18.40,10.10
21-August-2020,517.00,521.25,512.60,513.55,517.255390856385543313,421037,9223,217783658.00,132105,31.38,8.65,-3.45
20-August-2020,514.00,521.15,511.55,513.65,514.972867203667030106,359528,5705,185147165.00,97902,27.23,9.60,-0.35
19-August-2020,521.50,529.85,519.50,522.15,525.190659675896272629,394997,6858,207448735.00,72503,18.36,10.35,0.65
