Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-June-2021,3057.90,3089.00,3011.15,3023.25,3056.575523404255319148,58750,6729,179573812.00,28577,48.64,77.85,-34.65
8-June-2021,3069.90,3077.70,3045.65,3056.45,3057.761771300448430493,16056,1340,49095423.00,7316,45.57,32.05,-13.45
7-June-2021,3055.10,3079.65,3042.00,3051.50,3056.221581638202980528,18386,2015,56191690.00,6815,37.07,37.65,-3.60
4-June-2021,3000.00,3053.00,3000.00,3048.30,3039.448465943081787881,70206,7457,213387519.00,43780,62.36,53.00,48.30
3-June-2021,2974.05,3014.25,2962.45,3010.30,2992.433289997562362882,24614,2074,73655753.00,6436,26.15,51.80,36.25
2-June-2021,2980.00,2992.20,2941.95,2972.45,2968.867241461439527461,20993,1702,62325430.00,7847,37.38,50.25,-7.55
1-June-2021,3010.00,3053.75,2966.90,2976.55,3001.322827362954003770,28111,2809,84370186.00,7487,26.63,86.85,-33.45
31-May-2021,2991.35,3014.35,2960.55,3007.00,2996.094975092051115442,18468,1913,55331882.00,3459,18.73,53.80,15.65
28-May-2021,3020.00,3033.80,2958.55,2990.85,3001.516891000263921879,60624,7642,181963960.00,23676,39.05,75.25,-29.15
27-May-2021,2984.95,3030.00,2935.20,2994.35,3000.481202622937403455,97753,9625,293306039.00,32782,33.54,94.80,9.40
26-May-2021,2940.00,2986.70,2921.80,2965.70,2954.103080178697390077,21265,1895,62819002.00,5644,26.54,64.90,25.70
25-May-2021,2915.00,2943.00,2910.00,2929.30,2929.939444779405982121,38147,4130,111768400.00,21152,55.45,33.00,14.30
24-May-2021,2904.35,2961.75,2892.55,2900.85,2932.716925430575973800,83667,8226,245371627.00,28157,33.65,69.20,-3.50
21-May-2021,2875.00,2889.00,2835.00,2885.60,2869.001225450675610306,31009,3873,88964859.00,8885,28.65,54.00,10.60
20-May-2021,2945.00,2945.00,2861.15,2865.15,2881.686689378997071304,16731,1753,48213500.00,5714,34.15,83.85,-79.85
19-May-2021,2914.95,2944.50,2893.25,2913.00,2923.429591973843328705,44654,4790,130542825.00,16220,36.32,51.25,-1.95
18-May-2021,2893.75,2919.45,2855.50,2907.35,2897.098455102565043484,27251,2043,78948830.00,6620,24.29,63.95,13.60
17-May-2021,2849.50,2883.00,2813.65,2854.20,2854.134046448877324853,20754,1923,59234698.00,4874,23.48,69.35,4.70
14-May-2021,2840.90,2850.35,2802.55,2811.00,2821.948685481989937023,30011,3361,84689502.00,8371,27.89,47.80,-29.90
12-May-2021,2844.00,2857.75,2815.50,2841.85,2834.319735537190082644,15125,1246,42869086.00,3813,25.21,42.25,-2.15
11-May-2021,2837.80,2844.00,2801.10,2836.90,2823.332934099861599063,37572,3644,106078265.00,8685,23.12,42.90,-0.90
