Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-April-2021,1466.00,1489.90,1465.00,1480.45,1479.261870606799598335,41826,1861,61871607.00,6710,16.04,24.90,14.45
23-April-2021,1478.95,1497.60,1452.00,1460.95,1476.792921149017530119,86822,5755,128218115.00,21070,24.27,45.60,-18.00
22-April-2021,1530.00,1530.00,1473.40,1480.90,1482.941820628522398286,161999,9799,240235092.00,31917,19.70,56.60,-49.10
20-April-2021,1520.00,1560.00,1510.00,1522.85,1538.225580502782575321,52110,2518,80156935.00,7895,15.15,50.00,2.85
19-April-2021,1506.00,1527.45,1500.00,1518.70,1514.088688716220862270,72715,4481,110096959.00,18185,25.01,27.45,12.70
16-April-2021,1533.95,1559.00,1530.40,1549.95,1549.380416840900587626,45437,2304,70399198.00,7759,17.08,28.60,16.00
15-April-2021,1540.20,1553.25,1515.00,1537.40,1529.412428942562440517,38877,2780,59458967.00,12922,33.24,38.25,-2.80
13-April-2021,1520.00,1552.85,1517.25,1530.65,1535.846119946349875455,52190,2631,80155809.00,6610,12.67,35.60,10.65
12-April-2021,1590.75,1590.75,1503.00,1508.40,1525.123461594150437993,110504,5265,168532243.00,35843,32.44,87.75,-82.35
9-April-2021,1568.10,1617.90,1560.75,1591.75,1598.435214518464880521,176768,9280,282552196.00,46589,26.36,57.15,23.65
8-April-2021,1534.45,1583.90,1525.10,1573.75,1528.995146313712622567,234667,3409,358804704.00,174600,74.40,58.80,39.30
7-April-2021,1524.70,1561.00,1508.40,1513.95,1531.822414802372044488,157164,6479,240747338.00,57020,36.28,52.60,-10.75
6-April-2021,1535.25,1546.95,1509.10,1525.85,1530.229897773421089483,71410,2850,109273717.00,10520,14.73,37.85,-9.40
5-April-2021,1549.65,1559.00,1500.55,1534.75,1525.550727149542281815,63467,3657,96822128.00,12917,20.35,58.45,-14.90
1-April-2021,1565.00,1593.20,1551.70,1558.50,1569.230288402029954202,48474,2563,76066869.00,7742,15.97,41.50,-6.50
31-March-2021,1551.00,1566.95,1537.10,1557.40,1551.820004230217856219,85102,5723,132062986.00,30916,36.33,29.85,6.40
30-March-2021,1510.00,1562.30,1510.00,1552.75,1551.305975352463395420,220874,13387,342643156.00,102323,46.33,52.30,42.75
26-March-2021,1474.25,1512.75,1456.55,1506.10,1489.436333650036749547,55783,2886,83085227.00,9975,17.88,56.20,31.85
25-March-2021,1480.20,1497.55,1447.85,1450.55,1468.235573842846363028,70237,3438,103124462.00,12815,18.25,49.70,-29.65
24-March-2021,1489.75,1508.05,1476.90,1487.80,1487.945827919912660735,202429,4545,301203386.00,33482,16.54,31.15,-1.95
23-March-2021,1462.00,1514.45,1454.70,1496.90,1496.422797152866099917,89634,3939,134130361.00,11749,13.11,59.75,34.90
22-March-2021,1451.00,1467.25,1448.00,1459.80,1455.561689620025126223,42187,3054,61405781.00,10847,25.71,19.25,8.80
19-March-2021,1445.55,1471.05,1432.10,1467.70,1449.651933459158144230,205047,2567,297246780.00,154828,75.51,38.95,22.15
18-March-2021,1489.00,1492.65,1463.10,1467.85,1477.480613230763621780,54857,3775,81050154.00,19005,34.64,29.55,-21.15
17-March-2021,1499.00,1499.85,1470.05,1472.65,1483.474627205248040042,105487,2807,156487288.00,12374,11.73,29.80,-26.35
16-March-2021,1509.00,1531.50,1495.65,1500.35,1516.278361824017097948,282607,6982,428510879.00,44407,15.71,35.85,-8.65
15-March-2021,1490.00,1495.65,1471.25,1491.65,1481.999875730085746240,40235,2176,59628265.00,6943,17.26,24.40,1.65
12-March-2021,1482.00,1507.25,1478.70,1482.50,1493.053568470546260783,78479,3582,117173351.00,12774,16.28,28.55,0.50
10-March-2021,1479.55,1481.05,1463.20,1471.25,1474.831629842707632046,32678,1596,48194548.00,7335,22.45,17.85,-8.30
9-March-2021,1472.65,1478.75,1445.30,1456.80,1465.633061187047059902,43604,1788,63907464.00,9890,22.68,33.45,-15.85
8-March-2021,1465.00,1481.20,1452.00,1455.65,1466.183968113374667847,45160,3348,66212868.00,14527,32.17,29.20,-9.35
5-March-2021,1467.45,1492.70,1464.40,1474.65,1480.336219607843137254,63750,2554,94371434.00,9978,15.65,28.30,7.20
4-March-2021,1460.00,1487.50,1450.00,1470.35,1467.022566158675309773,151643,2389,222463703.00,112285,74.05,37.50,10.35
3-March-2021,1475.00,1481.30,1466.30,1474.35,1474.951537687829558962,32809,1613,48391685.00,6966,21.23,15.00,-0.65
2-March-2021,1465.95,1474.30,1449.60,1470.90,1462.875360272077472907,69392,4651,101511847.00,32986,47.54,24.70,4.95
1-March-2021,1438.00,1465.50,1416.75,1452.75,1454.095917366851415576,146866,8055,213557251.00,56153,38.23,48.75,14.75
26-February-2021,1420.00,1431.30,1404.00,1407.00,1415.619245448711453372,88821,7560,125736717.00,23716,26.70,27.30,-13.00
25-February-2021,1460.00,1460.00,1430.75,1436.05,1449.685395184795121114,204145,3010,295946025.00,145891,71.46,29.25,-23.95
24-February-2021,1428.00,1499.40,1400.05,1447.70,1446.932534847854653067,271681,10524,393104078.00,142685,52.52,99.35,19.70
23-February-2021,1406.35,1436.65,1400.40,1424.25,1423.497287787714411376,40926,1829,58258050.00,7769,18.98,36.25,17.90
22-February-2021,1425.00,1433.10,1396.25,1404.50,1415.191080481097379145,60362,3060,85423764.00,13961,23.13,36.85,-20.50
19-February-2021,1430.05,1444.65,1413.00,1425.50,1429.819672695062906873,116283,7702,166263721.00,25119,21.60,31.65,-4.55
18-February-2021,1462.15,1472.05,1429.55,1434.40,1444.189004603983553684,406170,11258,586586248.00,58627,14.43,42.50,-27.75
17-February-2021,1465.00,1482.95,1450.00,1460.90,1472.818718102848791296,169686,7408,249916717.00,101584,59.87,32.95,-4.10
16-February-2021,1494.20,1505.60,1461.00,1472.35,1479.527879979279291245,301148,7537,445556862.00,101921,33.84,44.60,-21.85
15-February-2021,1509.40,1518.65,1476.70,1483.90,1489.369882677021622608,361566,12319,538505511.00,56813,15.71,41.95,-25.50
12-February-2021,1530.55,1535.00,1491.00,1494.35,1509.354074876003927591,158876,5958,239800138.00,58308,36.70,44.00,-36.20
11-February-2021,1554.50,1573.65,1512.10,1524.15,1527.785095256511577071,297355,13761,454294537.00,54007,18.16,61.55,-30.35
10-February-2021,1575.00,1589.00,1525.00,1563.30,1547.486491652860965974,141246,6604,218576277.00,28863,20.43,64.00,-11.70
9-February-2021,1557.00,1584.00,1547.80,1560.05,1572.177717142670413698,122408,4919,192447130.00,39239,32.06,36.20,3.05
8-February-2021,1511.00,1564.40,1510.15,1541.05,1543.258052779979470121,153922,7692,237541366.00,62694,40.73,54.25,30.05
