Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-January-2020,266.00,273.65,265.50,271.95,271.016216770557443127,224274,3202,60781891.00,33777,15.06,8.15,5.95
23-January-2020,265.15,268.95,264.00,266.65,266.685410364591625537,100496,2136,26800817.00,10525,10.47,4.95,1.50
22-January-2020,268.35,268.95,264.85,265.80,266.760992200523934270,134368,1570,35844141.00,23832,17.74,4.10,-2.55
21-January-2020,270.00,270.85,264.50,267.30,267.488039437530305479,185610,1846,49648455.00,24429,13.16,6.35,-2.70
20-January-2020,273.75,274.80,268.95,271.20,271.493490096142708212,172660,1786,46876066.00,27157,15.73,5.85,-2.55
17-January-2020,278.15,279.50,272.80,273.25,276.123881461572325586,215795,1882,59586153.00,27944,12.95,6.70,-4.90
16-January-2020,282.90,282.90,276.15,277.35,278.152616889808880573,226089,2383,62887247.00,40048,17.71,6.75,-5.55
15-January-2020,280.60,283.25,276.50,282.45,280.871865212501234638,313857,3201,88153601.00,44467,14.17,6.75,1.85
14-January-2020,278.00,283.95,277.90,280.95,281.482761320809317432,293729,3109,82679650.00,41848,14.25,6.05,2.95
13-January-2020,277.35,279.90,275.45,278.65,277.523694938559711826,206542,2614,57320299.00,27532,13.33,4.45,1.30
10-January-2020,277.60,279.95,275.10,278.00,277.788416060540208873,312916,4404,86924440.00,51065,16.32,4.85,0.40
9-January-2020,267.10,278.90,267.10,278.10,274.127788574554002630,515586,5056,141336450.00,66102,12.82,11.80,11.00
8-January-2020,262.40,264.40,257.05,262.30,261.103345535922518362,381613,3259,99640431.00,34454,9.03,7.35,-0.10
7-January-2020,264.55,270.10,263.15,265.20,266.339438352331223238,189407,1852,50446554.00,21058,11.12,6.95,0.65
6-January-2020,271.25,271.25,262.40,264.10,265.954908727769374238,340465,2481,90548338.00,45894,13.48,8.85,-7.15
3-January-2020,276.90,276.90,270.85,272.40,273.069499630455518846,316606,2225,86455442.00,17080,5.39,6.05,-4.50
2-January-2020,271.90,277.15,271.45,276.50,274.982011889332696675,395817,3514,108842555.00,60273,15.23,5.70,4.60
1-January-2020,271.00,273.40,266.00,268.20,269.971431260202475016,276281,2198,74587977.00,25296,9.16,7.40,-2.80
31-December-2019,271.25,272.95,268.20,269.90,270.841778738392571245,224856,2512,60900399.00,45999,20.46,4.75,-1.35
30-December-2019,269.00,273.40,266.65,271.25,270.049431354089100433,304847,3233,82323759.00,49276,16.16,6.75,2.25
27-December-2019,270.50,271.05,265.10,268.80,268.085741920264213257,423900,3654,113641546.00,111205,26.23,5.95,-1.70
26-December-2019,267.70,271.95,266.75,269.30,270.658230355615148712,807699,5398,218610382.00,240146,29.73,5.20,1.60
24-December-2019,264.40,267.85,262.95,266.60,266.626207153382328262,435011,4390,115985333.00,148829,34.21,4.90,2.20
23-December-2019,266.60,270.50,262.65,263.70,266.726353214598120724,389831,3203,103978201.00,114435,29.36,7.85,-2.90
20-December-2019,264.90,266.65,262.85,264.70,265.173364541515678284,496451,2808,131645582.00,186343,37.54,3.80,-0.20
19-December-2019,263.80,267.20,262.25,264.90,264.425395536233268837,376767,2746,99626763.00,90380,23.99,4.95,1.10
